[margin] 対象銘柄数: 554
[margin] 150/554 完了（累計成功=149 失敗=1 0件=0）
[margin] (151/554) 取得中: code=45210
[margin] (152/554) 取得中: code=45230
[margin] (153/554) 取得中: code=45270
[margin] (154/554) 取得中: code=45280
[margin] (155/554) 取得中: code=45300
[margin] (156/554) 取得中: code=45340
[margin] (157/554) 取得中: code=45360
[margin] (158/554) 取得中: code=45400
[margin] (159/554) 取得中: code=45410
[margin] (160/554) 取得中: code=45430
[margin] (161/554) 取得中: code=45440
[margin] (162/554) 取得中: code=45470
[margin] (163/554) 取得中: code=45520
[margin] (164/554) 取得中: code=45550
[margin] (165/554) 取得中: code=45680
[margin] (166/554) 取得中: code=45690
[margin] (167/554) 取得中: code=45780
[margin] (168/554) 取得中: code=45810
[margin] (169/554) 取得中: code=45870
[margin] (170/554) 取得中: code=46120
[margin] (171/554) 取得中: code=46130
[margin] code=46130: 取得エラー。失敗として記録: /markets/margin-interest: HTTP 0 - 接続失敗: [Errno 104] Connection reset by peer
[margin] (172/554) 取得中: code=46310
[margin] (173/554) 取得中: code=46610
[margin] (174/554) 取得中: code=46650
[margin] (175/554) 取得中: code=46660
[margin] (176/554) 取得中: code=46760
[margin] (177/554) 取得中: code=46810
[margin] (178/554) 取得中: code=46840
[margin] (179/554) 取得中: code=46860
[margin] (180/554) 取得中: code=46890
[margin] (181/554) 取得中: code=47040
[margin] (182/554) 取得中: code=47160
[margin] (183/554) 取得中: code=47320
[margin] (184/554) 取得中: code=47390
[margin] (185/554) 取得中: code=47510
[margin] (186/554) 取得中: code=47550
[margin] (187/554) 取得中: code=47680
[margin] (188/554) 取得中: code=48870
[margin] (189/554) 取得中: code=49010
[margin] (190/554) 取得中: code=49020
[margin] (191/554) 取得中: code=49110
[margin] (192/554) 取得中: code=49120
[margin] (193/554) 取得中: code=49190
[margin] (194/554) 取得中: code=49210
[margin] (195/554) 取得中: code=49220
[margin] (196/554) 取得中: code=49270
[margin] (197/554) 取得中: code=49670
[margin] (198/554) 取得中: code=50020
[margin] (199/554) 取得中: code=50120
[margin] (200/554) 取得中: code=50190
[margin] 200/554 完了（累計成功=198 失敗=2 0件=0）
[margin] (201/554) 取得中: code=50200
[margin] (202/554) 取得中: code=50210
[margin] (203/554) 取得中: code=51010
[margin] (204/554) 取得中: code=51050
[margin] (205/554) 取得中: code=51080
[margin] (206/554) 取得中: code=51100
[margin] (207/554) 取得中: code=52010
[margin] (208/554) 取得中: code=52020
[margin] (209/554) 取得中: code=52140
[margin] (210/554) 取得中: code=52320
[margin] (211/554) 取得中: code=52330
[margin] (212/554) 取得中: code=53010
[margin] (213/554) 取得中: code=53320
[margin] (214/554) 取得中: code=53330
[margin] (215/554) 取得中: code=53340
[margin] (216/554) 取得中: code=54010
[margin] (217/554) 取得中: code=54060
[margin] (218/554) 取得中: code=54110
[margin] (219/554) 取得中: code=54130
[margin] (220/554) 取得中: code=54440
[margin] (221/554) 取得中: code=54630
[margin] (222/554) 取得中: code=54710
[margin] (223/554) 取得中: code=54860
[margin] (224/554) 取得中: code=56310
[margin] (225/554) 取得中: code=57030
[margin] (226/554) 取得中: code=57060
[margin] (227/554) 取得中: code=57110
[margin] (228/554) 取得中: code=57130
[margin] (229/554) 取得中: code=57140
[margin] (230/554) 取得中: code=58010
[margin] (231/554) 取得中: code=58020
[margin] (232/554) 取得中: code=58030
[margin] (233/554) 取得中: code=59010
[margin] (234/554) 取得中: code=59290
[margin] (235/554) 取得中: code=59380
[margin] (236/554) 取得中: code=59470
[margin] (237/554) 取得中: code=59490
[margin] (238/554) 取得中: code=59910
[margin] (239/554) 取得中: code=60050
[margin] (240/554) 取得中: code=60280
[margin] (241/554) 取得中: code=60980
[margin] (242/554) 取得中: code=61030
[margin] (243/554) 取得中: code=61130
[margin] (244/554) 取得中: code=61340
[margin] (245/554) 取得中: code=61360
[margin] (246/554) 取得中: code=61410
[margin] (247/554) 取得中: code=61460
[margin] (248/554) 取得中: code=61780
[margin] (249/554) 取得中: code=62010
[margin] (250/554) 取得中: code=62680
[margin] 250/554 完了（累計成功=248 失敗=2 0件=0）
[margin] (251/554) 取得中: code=62730
[margin] (252/554) 取得中: code=63010
[margin] (253/554) 取得中: code=63020
[margin] (254/554) 取得中: code=63050
[margin] (255/554) 取得中: code=63260
[margin] (256/554) 取得中: code=63610
[margin] (257/554) 取得中: code=63660
[margin] (258/554) 取得中: code=63670
[margin] (259/554) 取得中: code=63700
[margin] (260/554) 取得中: code=63830
[margin] (261/554) 取得中: code=63950
[margin] (262/554) 取得中: code=64060
[margin] (263/554) 取得中: code=64170
[margin] (264/554) 取得中: code=64360
[margin] (265/554) 取得中: code=64480
[margin] (266/554) 取得中: code=64570
[margin] (267/554) 取得中: code=64600
[margin] (268/554) 取得中: code=64650
[margin] (269/554) 取得中: code=64710
[margin] (270/554) 取得中: code=64720
[margin] (271/554) 取得中: code=64730
[margin] (272/554) 取得中: code=64740
[margin] (273/554) 取得中: code=64790
[margin] (274/554) 取得中: code=64810
[margin] (275/554) 取得中: code=65010
[margin] (276/554) 取得中: code=65020
[margin] (277/554) 取得中: code=65030
[margin] (278/554) 取得中: code=65040
[margin] (279/554) 取得中: code=65060
[margin] (280/554) 取得中: code=65860
[margin] (281/554) 取得中: code=65920
[margin] (282/554) 取得中: code=65940
[margin] (283/554) 取得中: code=66450
[margin] (284/554) 取得中: code=66740
[margin] (285/554) 取得中: code=67010
[margin] (286/554) 取得中: code=67020
[margin] (287/554) 取得中: code=67030
[margin] (288/554) 取得中: code=67230
[margin] (289/554) 取得中: code=67240
[margin] (290/554) 取得中: code=67280
[margin] (291/554) 取得中: code=67520
[margin] (292/554) 取得中: code=67530
[margin] (293/554) 取得中: code=67540
[margin] (294/554) 取得中: code=67550
[margin] (295/554) 取得中: code=67580
[margin] (296/554) 取得中: code=67620
[margin] (297/554) 取得中: code=67700
[margin] (298/554) 取得中: code=68060
[margin] (299/554) 取得中: code=68410
[margin] (300/554) 取得中: code=68450
[margin] 300/554 完了（累計成功=298 失敗=2 0件=0）
[margin] (301/554) 取得中: code=68490
[margin] (302/554) 取得中: code=68560
[margin] (303/554) 取得中: code=68570
[margin] (304/554) 取得中: code=68610
[margin] (305/554) 取得中: code=68690
[margin] (306/554) 取得中: code=69020
[margin] (307/554) 取得中: code=69200
[margin] (308/554) 取得中: code=69230
[margin] (309/554) 取得中: code=69250
[margin] (310/554) 取得中: code=69520
[margin] (311/554) 取得中: code=69540
[margin] (312/554) 取得中: code=69630
[margin] (313/554) 取得中: code=69650
[margin] (314/554) 取得中: code=69710
[margin] (315/554) 取得中: code=69760
[margin] (316/554) 取得中: code=69810
[margin] (317/554) 取得中: code=69880
[margin] (318/554) 取得中: code=69950
[margin] (319/554) 取得中: code=70030
[margin] (320/554) 取得中: code=70040
[margin] (321/554) 取得中: code=70110
[margin] (322/554) 取得中: code=70120
[margin] (323/554) 取得中: code=70130
[margin] (324/554) 取得中: code=71640
[margin] (325/554) 取得中: code=71670
[margin] (326/554) 取得中: code=71800
[margin] (327/554) 取得中: code=71810
[margin] (328/554) 取得中: code=71820
[margin] (329/554) 取得中: code=71860
[margin] (330/554) 取得中: code=71890
[margin] (331/554) 取得中: code=72010
[margin] (332/554) 取得中: code=72020
[margin] (333/554) 取得中: code=72030
[margin] (334/554) 取得中: code=72050
[margin] (335/554) 取得中: code=72110
[margin] (336/554) 取得中: code=72220
[margin] (337/554) 取得中: code=72400
[margin] (338/554) 取得中: code=72590
[margin] (339/554) 取得中: code=72610
[margin] (340/554) 取得中: code=72670
[margin] (341/554) 取得中: code=72690
[margin] (342/554) 取得中: code=72700
[margin] (343/554) 取得中: code=72720
[margin] (344/554) 取得中: code=72760
[margin] (345/554) 取得中: code=72820
[margin] (346/554) 取得中: code=73090
[margin] (347/554) 取得中: code=73130
[margin] (348/554) 取得中: code=73370
[margin] (349/554) 取得中: code=74530
[margin] (350/554) 取得中: code=74580
[margin] 350/554 完了（累計成功=348 失敗=2 0件=0）
[margin] (351/554) 取得中: code=74590
[margin] (352/554) 取得中: code=74760
[margin] (353/554) 取得中: code=75180
[margin] (354/554) 取得中: code=75320
[margin] (355/554) 取得中: code=75500
[margin] (356/554) 取得中: code=76160
[margin] (357/554) 取得中: code=76490
[margin] (358/554) 取得中: code=77010
[margin] (359/554) 取得中: code=77300
[margin] (360/554) 取得中: code=77310
[margin] (361/554) 取得中: code=77320
[margin] (362/554) 取得中: code=77330
[margin] (363/554) 取得中: code=77350
[margin] (364/554) 取得中: code=77410
[margin] (365/554) 取得中: code=77470
[margin] (366/554) 取得中: code=77510
[margin] (367/554) 取得中: code=77520
[margin] (368/554) 取得中: code=77620
[margin] (369/554) 取得中: code=77800
[margin] (370/554) 取得中: code=78320
[margin] (371/554) 取得中: code=78460
[margin] (372/554) 取得中: code=79110
[margin] (373/554) 取得中: code=79120
[margin] (374/554) 取得中: code=79360
[margin] (375/554) 取得中: code=79470
[margin] (376/554) 取得中: code=79510
[margin] (377/554) 取得中: code=79560
[margin] (378/554) 取得中: code=79660
[margin] (379/554) 取得中: code=79740
[margin] (380/554) 取得中: code=79840
[margin] (381/554) 取得中: code=79880
[margin] (382/554) 取得中: code=80010
[margin] (383/554) 取得中: code=80020
[margin] (384/554) 取得中: code=80120
[margin] (385/554) 取得中: code=80150
[margin] (386/554) 取得中: code=80160
[margin] (387/554) 取得中: code=80280
[margin] (388/554) 取得中: code=80310
[margin] (389/554) 取得中: code=80350
[margin] (390/554) 取得中: code=80360
[margin] (391/554) 取得中: code=80530
[margin] (392/554) 取得中: code=80560
[margin] (393/554) 取得中: code=80580
[margin] (394/554) 取得中: code=80600
[margin] (395/554) 取得中: code=80780
[margin] (396/554) 取得中: code=80860
[margin] (397/554) 取得中: code=80880
[margin] (398/554) 取得中: code=81110
[margin] (399/554) 取得中: code=81130
[margin] (400/554) 取得中: code=81290
[margin] 400/554 完了（累計成功=398 失敗=2 0件=0）
[margin] (401/554) 取得中: code=81300
[margin] (402/554) 取得中: code=81360
[margin] (403/554) 取得中: code=81400
[margin] (404/554) 取得中: code=81840
[margin] (405/554) 取得中: code=82180
[margin] (406/554) 取得中: code=82190
[margin] (407/554) 取得中: code=82270
[margin] (408/554) 取得中: code=82330
[margin] (409/554) 取得中: code=82420
[margin] (410/554) 取得中: code=82520
[margin] (411/554) 取得中: code=82530
[margin] (412/554) 取得中: code=82670
[margin] (413/554) 取得中: code=82730
[margin] (414/554) 取得中: code=82790
[margin] (415/554) 取得中: code=82820
[margin] (416/554) 取得中: code=82830
[margin] (417/554) 取得中: code=83030
[margin] (418/554) 取得中: code=83040
[margin] (419/554) 取得中: code=83060
[margin] (420/554) 取得中: code=83080
[margin] (421/554) 取得中: code=83090
[margin] (422/554) 取得中: code=83160
[margin] (423/554) 取得中: code=83240
[margin] (424/554) 取得中: code=83310
[margin] (425/554) 取得中: code=83340
[margin] (426/554) 取得中: code=83360
[margin] (427/554) 取得中: code=83410
[margin] (428/554) 取得中: code=83540
[margin] (429/554) 取得中: code=83550
[margin] (430/554) 取得中: code=83560
[margin] (431/554) 取得中: code=83580
[margin] (432/554) 取得中: code=83590
[margin] (433/554) 取得中: code=83610
[margin] (434/554) 取得中: code=83660
[margin] (435/554) 取得中: code=83690
[margin] (436/554) 取得中: code=83700
[margin] (437/554) 取得中: code=83770
[margin] (438/554) 取得中: code=83790
[margin] (439/554) 取得中: code=83810
[margin] (440/554) 取得中: code=83820
[margin] (441/554) 取得中: code=83850
[margin] (442/554) 取得中: code=84100
[margin] code=84100: 取得エラー。失敗として記録: /markets/margin-interest: HTTP 0 - 接続失敗: [Errno 104] Connection reset by peer
[margin] (443/554) 取得中: code=84110
[margin] (444/554) 取得中: code=84180
[margin] (445/554) 取得中: code=84390
[margin] (446/554) 取得中: code=84730
[margin] (447/554) 取得中: code=85150
[margin] (448/554) 取得中: code=85240
[margin] (449/554) 取得中: code=85700
[margin] (450/554) 取得中: code=85720
[margin] 450/554 完了（累計成功=447 失敗=3 0件=0）
[margin] (451/554) 取得中: code=85850
[margin] (452/554) 取得中: code=85860
[margin] (453/554) 取得中: code=85910
[margin] (454/554) 取得中: code=85930
[margin] (455/554) 取得中: code=85950
[margin] (456/554) 取得中: code=86010
[margin] (457/554) 取得中: code=86040
[margin] (458/554) 取得中: code=86090
[margin] (459/554) 取得中: code=86160
[margin] (460/554) 取得中: code=86280
[margin] (461/554) 取得中: code=86300
[margin] (462/554) 取得中: code=86970
[margin] (463/554) 取得中: code=87140
[margin] (464/554) 取得中: code=87250
[margin] (465/554) 取得中: code=87290
[margin] (466/554) 取得中: code=87500
[margin] (467/554) 取得中: code=87660
[margin] (468/554) 取得中: code=87950
[margin] (469/554) 取得中: code=88010
[margin] (470/554) 取得中: code=88020
[margin] (471/554) 取得中: code=88040
[margin] (472/554) 取得中: code=88300
[margin] (473/554) 取得中: code=88480
[margin] (474/554) 取得中: code=88760
[margin] (475/554) 取得中: code=89050
[margin] (476/554) 取得中: code=89330
[margin] (477/554) 取得中: code=90010
[margin] (478/554) 取得中: code=90030
[margin] (479/554) 取得中: code=90050
[margin] (480/554) 取得中: code=90060
[margin] (481/554) 取得中: code=90070
[margin] (482/554) 取得中: code=90080
[margin] (483/554) 取得中: code=90090
[margin] (484/554) 取得中: code=90200
[margin] (485/554) 取得中: code=90210
[margin] (486/554) 取得中: code=90220
[margin] (487/554) 取得中: code=90240
[margin] (488/554) 取得中: code=90310
[margin] (489/554) 取得中: code=90410
[margin] (490/554) 取得中: code=90420
[margin] (491/554) 取得中: code=90440
[margin] (492/554) 取得中: code=90450
[margin] (493/554) 取得中: code=90480
[margin] (494/554) 取得中: code=90620
[margin] (495/554) 取得中: code=90640
[margin] (496/554) 取得中: code=90650
[margin] (497/554) 取得中: code=90720
[margin] (498/554) 取得中: code=90750
[margin] (499/554) 取得中: code=90760
[margin] (500/554) 取得中: code=91010
[margin] 500/554 完了（累計成功=497 失敗=3 0件=0）
[margin] (501/554) 取得中: code=91040
[margin] (502/554) 取得中: code=91070
[margin] (503/554) 取得中: code=91420
[margin] (504/554) 取得中: code=91430
[margin] (505/554) 取得中: code=92010
[margin] (506/554) 取得中: code=92020
[margin] (507/554) 取得中: code=93010
[margin] (508/554) 取得中: code=93030
[margin] (509/554) 取得中: code=93640
[margin] (510/554) 取得中: code=94010
[margin] (511/554) 取得中: code=94040
[margin] (512/554) 取得中: code=94090
[margin] (513/554) 取得中: code=94320
[margin] (514/554) 取得中: code=94330
[margin] (515/554) 取得中: code=94340
[margin] (516/554) 取得中: code=94350
[margin] (517/554) 取得中: code=94370
[margin] (518/554) 取得中: code=94490
[margin] (519/554) 取得中: code=95010
[margin] (520/554) 取得中: code=95020
[margin] (521/554) 取得中: code=95030
[margin] (522/554) 取得中: code=95040
[margin] (523/554) 取得中: code=95050
[margin] (524/554) 取得中: code=95060
[margin] (525/554) 取得中: code=95070
[margin] (526/554) 取得中: code=95080
[margin] (527/554) 取得中: code=95090
[margin] (528/554) 取得中: code=95130
[margin] (529/554) 取得中: code=95310
[margin] (530/554) 取得中: code=95320
[margin] (531/554) 取得中: code=95330
[margin] (532/554) 取得中: code=96010
[margin] (533/554) 取得中: code=96020
[margin] (534/554) 取得中: code=96130
[margin] (535/554) 取得中: code=96270
[margin] (536/554) 取得中: code=96840
[margin] (537/554) 取得中: code=96970
[margin] (538/554) 取得中: code=97060
[margin] (539/554) 取得中: code=97190
[margin] (540/554) 取得中: code=97350
[margin] (541/554) 取得中: code=97440
[margin] (542/554) 取得中: code=97470
[margin] (543/554) 取得中: code=97660
[margin] (544/554) 取得中: code=97830
[margin] (545/554) 取得中: code=98310
[margin] (546/554) 取得中: code=98320
[margin] (547/554) 取得中: code=98430
[margin] (548/554) 取得中: code=98610
[margin] (549/554) 取得中: code=99560
[margin] (550/554) 取得中: code=99620
[margin] 550/554 完了（累計成功=547 失敗=3 0件=0）
[margin] (551/554) 取得中: code=99830
[margin] (552/554) 取得中: code=99840
[margin] (553/554) 取得中: code=99870
[margin] (554/554) 取得中: code=99890
[margin] 完了。成功=551 失敗=3 0件=0
[margin] 警告: 失敗銘柄が残っている: ['41860', '46130', '84100']
[stats] request_count=554 retry_count=0
[margin] 対象銘柄数: 554
[margin] (129/554) 取得中: code=41860
[margin] (171/554) 取得中: code=46130
[margin] (442/554) 取得中: code=84100
[margin] 完了。成功=554 失敗=0 0件=0
[stats] request_count=3 retry_count=0
